fault_type,start_timestamp,start_datetime,end_timestamp,end_datetime,duration,node,extra
cpu,1765565486.715611552,2025-12-12 18:51:26,1765565486.720623530,2025-12-12 18:51:26,60,goguma3,
cpu,1765565655.496201461,2025-12-12 18:54:15,1765565715.526001869,2025-12-12 18:55:15,60,goguma3,
memory,1765566915.544555528,2025-12-12 19:15:15,1765566975.689818025,2025-12-12 19:16:15,60,goguma3,
disk,1765568175.708245868,2025-12-12 19:36:15,1765568206.691435012,2025-12-12 19:36:46,60,goguma3,
gpu,1765569406.709541676,2025-12-12 19:56:46,1765569469.803629614,2025-12-12 19:57:49,60,goguma3,gpu_0
gpu,1765570669.819466468,2025-12-12 20:17:49,1765570732.308462958,2025-12-12 20:18:52,60,goguma3,gpu_1
gpu,1765571932.325939061,2025-12-12 20:38:52,1765571994.545471768,2025-12-12 20:39:54,60,goguma3,gpu_2
gpu,1765573194.564711151,2025-12-12 20:59:54,1765573256.931256196,2025-12-12 21:00:56,60,goguma3,gpu_3
network,1765574456.949066182,2025-12-12 21:20:56,1765574456.956988329,2025-12-12 21:20:56,60,goguma3,
network_latency_start,1765575656.993449823,2025-12-12 21:40:56,,,goguma3
network_reset,1765575717.053346836,2025-12-12 21:41:57,,,goguma3
network_loss_start,1765576917.101690937,2025-12-12 22:01:57,,,goguma3
network_reset,1765576977.141144525,2025-12-12 22:02:57,,,goguma3
network_bw_limit_start,1765578177.184242151,2025-12-12 22:22:57,,,goguma3
network_reset,1765578237.232945487,2025-12-12 22:23:57,,,goguma3
network_latency_loss_start,1765579437.279329002,2025-12-12 22:43:57,,,goguma3
network_reset,1765579497.319549818,2025-12-12 22:44:57,,,goguma3
cpu,1765624849.053473280,2025-12-13 11:20:49,1765624969.098172028,2025-12-13 11:22:49,120,goguma3,
memory,1765626169.116477343,2025-12-13 11:42:49,1765626289.366987603,2025-12-13 11:44:49,120,goguma3,
disk,1765627489.385822530,2025-12-13 12:04:49,1765627520.273808420,2025-12-13 12:05:20,120,goguma3,
gpu,1765628720.293139116,2025-12-13 12:25:20,1765628842.500524668,2025-12-13 12:27:22,120,goguma3,gpu_0
gpu,1765630042.519030412,2025-12-13 12:47:22,1765630165.088738794,2025-12-13 12:49:25,120,goguma3,gpu_1
gpu,1765631365.105604096,2025-12-13 13:09:25,1765631487.568920728,2025-12-13 13:11:27,120,goguma3,gpu_2
gpu,1765632687.587704765,2025-12-13 13:31:27,1765632810.090076094,2025-12-13 13:33:30,120,goguma3,gpu_3
network,1765634010.107173475,2025-12-13 13:53:30,1765634010.113626351,2025-12-13 13:53:30,120,goguma3,
network_latency_start,1765635210.142292722,2025-12-13 14:13:30,,,goguma3
network_reset,1765635330.184576652,2025-12-13 14:15:30,,,goguma3
network_loss_start,1765636530.236060954,2025-12-13 14:35:30,,,goguma3
network_reset,1765636650.280492613,2025-12-13 14:37:30,,,goguma3
network_bw_limit_start,1765637850.332768874,2025-12-13 14:57:30,,,goguma3
network_reset,1765637970.369001921,2025-12-13 14:59:30,,,goguma3
network_latency_loss_start,1765639170.415521629,2025-12-13 15:19:30,,,goguma3
network_reset,1765639290.461016017,2025-12-13 15:21:30,,,goguma3
